card_url,image_url,price_check_url,price_low,price_market,price_high,card_name,hp,color,type,sub_type,pokemon_name,stage,evolves,evolves_direction,is,weakness,resistance,retreat_cost,is_ex,illustrator,series_name,set_name,set_abbreviation,set_series_code,card_number,out_of,rarity,release_date,base_filename,image_downloaded,metadata_saved,skipped,error
https://pkmncards.com/card/sewaddle-white-flare-wht-001/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_001_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642116%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94146%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94146&subId3=ago,0.01,0.06,2.37,Sewaddle,50 HP,Grass,Pokémon,,Sewaddle,Basic,Swadloon,to,,Fire,No Resistance,1,False,Oswaldo KATO,Scarlet & Violet,,WHT,rsv10-5,001,086,Common,"↘ Jul 18, 2025",sewaddle-white-flare-wht-001,True,True,False,
https://pkmncards.com/card/swadloon-white-flare-wht-002/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_002_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642117%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94149%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94149&subId3=ago,0.01,0.07,1.53,Swadloon,80 HP,Grass,Pokémon,,Swadloon,Stage 1,Sewaddle,from,,Fire,No Resistance,2,False,Oswaldo KATO,Scarlet & Violet,,WHT,rsv10-5,002,086,Common,"↘ Jul 18, 2025",swadloon-white-flare-wht-002,True,True,False,
https://pkmncards.com/card/leavanny-white-flare-wht-003/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_003_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642118%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94152%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94152&subId3=ago,0.01,0.04,1.53,Leavanny,130 HP,Grass,Pokémon,,Leavanny,Stage 2,Swadloon,from,,Fire,No Resistance,1,False,Oswaldo KATO,Scarlet & Violet,,WHT,rsv10-5,003,086,Uncommon,"↘ Jul 18, 2025",leavanny-white-flare-wht-003,True,True,False,
https://pkmncards.com/card/cottonee-white-flare-wht-004/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_004_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642119%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94155%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94155&subId3=ago,0.01,0.09,2.37,Cottonee,60 HP,Grass,Pokémon,,Cottonee,Basic,Whimsicott,to,,Fire,No Resistance,1,False,sui,Scarlet & Violet,,WHT,rsv10-5,004,086,Common,"↘ Jul 18, 2025",cottonee-white-flare-wht-004,True,True,False,
https://pkmncards.com/card/whimsicott-ex-white-flare-wht-005/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_005_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642120%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94158%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94158&subId3=ago,0.20,0.42,11.00,Whimsicott ex,230 HP,Grass,Pokémon,,Whimsicott,Stage 1,Cottonee,from,ex,Fire,No Resistance,0,True,5ban Graphics,Scarlet & Violet,,WHT,rsv10-5,005,086,Double Rare,"↘ Jul 18, 2025",whimsicott-ex-white-flare-wht-005,True,True,False,
https://pkmncards.com/card/deerling-white-flare-wht-006/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_006_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642121%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94161%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94161&subId3=ago,0.01,0.05,1.53,Deerling,70 HP,Grass,Pokémon,,Deerling,Basic,Sawsbuck,to,,Fire,No Resistance,1,False,Narano,Scarlet & Violet,,WHT,rsv10-5,006,086,Common,"↘ Jul 18, 2025",deerling-white-flare-wht-006,True,True,False,
https://pkmncards.com/card/sawsbuck-white-flare-wht-007/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_007_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642122%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94164%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94164&subId3=ago,0.01,0.07,1.53,Sawsbuck,130 HP,Grass,Pokémon,,Sawsbuck,Stage 1,Deerling,from,,Fire,No Resistance,2,False,Narano,Scarlet & Violet,,WHT,rsv10-5,007,086,Uncommon,"↘ Jul 18, 2025",sawsbuck-white-flare-wht-007,True,True,False,
https://pkmncards.com/card/shelmet-white-flare-wht-008/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_008_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642123%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94167%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94167&subId3=ago,0.01,0.04,1.53,Shelmet,60 HP,Grass,Pokémon,,Shelmet,Basic,Accelgor,to,,Fire,No Resistance,3,False,Saboteri,Scarlet & Violet,,WHT,rsv10-5,008,086,Common,"↘ Jul 18, 2025",shelmet-white-flare-wht-008,True,True,False,
https://pkmncards.com/card/accelgor-white-flare-wht-009/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_009_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642124%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94170%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94170&subId3=ago,0.01,0.03,1.53,Accelgor,100 HP,Grass,Pokémon,,Accelgor,Stage 1,Shelmet,from,,Fire,No Resistance,1,False,Saboteri,Scarlet & Violet,,WHT,rsv10-5,009,086,Uncommon,"↘ Jul 18, 2025",accelgor-white-flare-wht-009,True,True,False,
https://pkmncards.com/card/virizion-white-flare-wht-010/,https://pkmncards.com/wp-content/uploads/rsv10-5_en_010_std.jpg,https://partner.tcgplayer.com/c/4950772/1830156/21018?u=https%3A%2F%2Fpartner.tcgplayer.com%2Fc%2F4950772%2F1830156%2F21018%3Fu%3Dhttps%253A%252F%252Fwww.tcgplayer.com%252Fproduct%252F642125%26partnerpropertyid%3D5285443%26subId1%3Dsingle%26subId2%3D94173%26subId3%3Dlmh&partnerpropertyid=5285443&subId1=single&subId2=94173&subId3=ago,0.01,0.06,2.28,Virizion,120 HP,Grass,Pokémon,,Virizion,Basic,,,,Fire,No Resistance,1,False,Felicia Chen,Scarlet & Violet,,WHT,rsv10-5,010,086,Rare,"↘ Jul 18, 2025",virizion-white-flare-wht-010,True,True,False,
